file_path,filename,overall_score,structure_score,metadata_score,performance_score,security_score,error_count,warning_count
prompts/m365\m365-customer-feedback-analyzer.md,m365-customer-feedback-analyzer.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-designer-image-prompt-generator.md,m365-designer-image-prompt-generator.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-designer-infographic-brief.md,m365-designer-infographic-brief.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-designer-social-media-kit.md,m365-designer-social-media-kit.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-manager-sync-planner.md,m365-manager-sync-planner.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-slide-content-refiner.md,m365-slide-content-refiner.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-sway-document-to-story.md,m365-sway-document-to-story.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/m365\m365-sway-visual-newsletter.md,m365-sway-visual-newsletter.md,68.5,80.0,56.0,65.0,80.0,2,5
prompts/system\compliance-architecture-designer.md,compliance-architecture-designer.md,68.5,90.0,56.0,65.0,60.0,2,6
prompts/advanced\chain-of-thought-detailed.md,chain-of-thought-detailed.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/advanced\chain-of-thought-performance-analysis.md,chain-of-thought-performance-analysis.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/advanced\library-analysis-react.md,library-analysis-react.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/advanced\react-doc-search-synthesis.md,react-doc-search-synthesis.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/advanced\react-knowledge-base-research.md,react-knowledge-base-research.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/advanced\tree-of-thoughts-template.md,tree-of-thoughts-template.md,69.5,90.0,56.0,50.0,80.0,2,5
prompts/analysis\data-analysis-insights.md,data-analysis-insights.md,69.5,90.0,56.0,50.0,80.0,2,5
